date,total_precipitation,mean_wind_speed,mean_relative_humidity,percentage_possible_sunshine,total_sunshine_duration,solar_radiation,mean_air_temperature
01/01/2010,90,5,67,28,92.7,9.1,16.8
01/02/2010,276.5,5.6,77,22,69.5,9.2,18.3
01/03/2010,41.5,5.8,71,36,134.9,14.2,19.9
01/04/2010,219,5.4,76,21,81.3,13.4,21.2
01/05/2010,574.5,5.1,79,27,111.8,14.8,23.8
01/06/2010,220.5,5.4,82,31,128.1,17.6,26.7
01/07/2010,348.5,5.7,80,35,146.2,17.4,28.7
01/08/2010,281.5,5.3,79,45,183.5,18.9,28.9
01/09/2010,193,4.9,76,56,207.2,18.4,28
01/10/2010,368,5.3,74,34,119.7,12.3,25.7
01/11/2010,194,5.1,66,32,105.1,10.2,21.4
01/12/2010,88.5,5.3,64,38,122.7,9.8,18.1
01/01/2011,97,5.8,65,18,59.7,6.8,14.9
01/02/2011,121.5,4.5,71,33,104.4,11.8,17.6
01/03/2011,40,5.2,63,24,88,12.1,17.1
01/04/2011,90,4.7,69,48,182.4,18.1,20.4
01/05/2011,299.5,5.1,86,18,75.7,13.1,23.9
01/06/2011,223.5,6.4,85,46,189.5,20.6,27.9
01/07/2011,111,5.1,81,56,234.9,21.9,28.9
01/08/2011,471.5,5.9,81,49,199.2,19,28.3
01/09/2011,71.5,5.8,76,56,205.2,19,27.9
01/10/2011,212,5,78,32,114.7,11.8,25.2
01/11/2011,314,5.7,76,24,78.8,9,23.7
01/12/2011,70.5,5.7,69,21,69.8,7.1,18.6
01/01/2012,119,5.3,71,16,54.4,6.8,17
01/02/2012,109.5,5.2,74,18,57.3,8.5,17.5
01/03/2012,81,5.6,71,34,124.8,13.8,19.6
01/04/2012,356.5,5.5,75,26,99.6,13.9,21.7
01/05/2012,229.5,5,77,34,141.6,16.9,24.4
01/06/2012,372,6,86,30,124.7,16.3,26.9
01/07/2012,96,5.4,79,57,239.5,21.5,29.1
01/08/2012,674,6.4,82,41,164.1,17,28.5
01/09/2012,271.5,5.4,76,43,159.1,15.9,27.2
01/10/2012,96.5,6,70,46,163.2,14.2,24.6
01/11/2012,214.5,4.7,67,36,115.7,10.5,21
01/12/2012,113,5.9,65,29,94.9,8.5,18.5
01/01/2013,100,5.5,66,29,94.6,9,17
01/02/2013,75,5.1,72,36,111.7,11.6,18.6
01/03/2013,140.5,4.9,72,39,143.5,14.3,20.4
01/04/2013,202.5,4.9,74,24,93.4,13.5,20.6
01/05/2013,602.5,4.6,81,23,94.1,14.9,23.7
01/06/2013,105,5.5,80,53,216,22,27.9
01/07/2013,4.5,5,73,64,268.4,23.4,29.4
01/08/2013,212,4.7,76,60,241.7,21.2,29.6
01/09/2013,178,6,74,56,206.5,18.7,28.3
01/10/2013,200,7.3,72,36,129.7,12.4,25.3
01/11/2013,121,5,66,37,120,10.6,21.3
01/12/2013,130,5.4,64,27,89.4,8.3,17.3
01/01/2014,66,5,61,44,145.4,11,16.8
01/02/2014,227,5.4,72,26,82.9,11,17.9
01/03/2014,185,5.6,69,30,110.1,12.9,18.4
01/04/2014,100.5,5.1,73,39,149.1,17.2,20.9
01/05/2014,354.5,4.9,81,27,112.5,15.5,23.6
01/06/2014,397.5,5.1,85,33,134.5,16.7,26.9
01/07/2014,494,6.3,80,56,235.5,21.8,29.3
01/08/2014,229,4.6,82,44,175.7,17.3,28.7
01/09/2014,95.5,4.2,75,61,224,19.1,28.8
01/10/2014,269,6.7,70,48,171.2,14.1,25.4
01/11/2014,49.5,5.1,68,41,134.7,11.6,22.6
01/12/2014,117,5.7,62,26,84.6,8.1,17.6
01/01/2015,22,5.3,61,27,90.7,8.5,16.6
01/02/2015,47,4.7,65,36,114.1,12.2,16.8
01/03/2015,95.5,5.1,72,34,126.5,14.1,19
01/04/2015,100,4.8,76,31,118.9,15.2,22.2
01/05/2015,197.5,4.7,81,35,144.2,17.6,24.9
01/06/2015,38,5.8,83,54,221.7,21.8,28.7
01/07/2015,369,6.3,79,48,202.3,20.2,29
01/08/2015,278,5.5,79,42,170.2,18,28.7
01/09/2015,46.5,4.5,73,57,208.5,19,27.8
01/10/2015,63.5,5,68,49,174.6,14.8,25.5
01/11/2015,95,4.9,71,43,139.7,11.7,23.8
01/12/2015,73,5.4,68,31,102.4,8.8,20.1
01/01/2016,272.5,5.3,71,23,75.8,7.5,17.4
01/02/2016,157.5,5.9,65,26,83.1,10.2,16.9
01/03/2016,168.5,5,70,29,106.6,12.4,18.7
01/04/2016,350.5,5.4,82,33,125.5,16.4,23
01/05/2016,129.5,4.9,82,35,143.2,17.5,25.7
01/06/2016,319.5,5,82,45,185.7,19.1,28.4
01/07/2016,193,5,76,60,253,22.9,29.8
01/08/2016,209,4.2,74,56,226.4,19.7,29.5
01/09/2016,342,5.6,78,38,141.8,15.6,28.4
01/10/2016,75.5,5.1,79,49,175.6,14.5,27.7
01/11/2016,103,4.8,66,39,128.4,11.2,23.2
01/12/2016,47.5,5.4,63,34,112.1,9.6,20.5
01/01/2017,92.5,4.7,64,23,77,8.4,18.4
01/02/2017,84,5.2,63,25,79.9,10.5,17.1
01/03/2017,96.5,5,67,28,102.4,12.3,18.3
01/04/2017,67,5.2,71,34,128.6,15.7,21.6
01/05/2017,315.5,4.5,78,27,112.1,15.7,24.2
01/06/2017,444.5,5.1,85,26,107.7,15.6,26.6
01/07/2017,44,3.7,74,64,267.2,23.1,29.9
01/08/2017,56.5,4.8,74,60,242.1,21.3,30.4
01/09/2017,239.5,4.9,75,50,186.1,17.1,28.9
01/10/2017,270,6.3,73,44,155.8,14.4,27
