date,total_precipitation,mean_wind_speed,mean_air_temperature,percentage_possible_sunshine,total_sunshine_duration,solar_radiation,mean_relative_humidity
01/01/2010,90,5,16.8,28,92.7,9.1,67
01/02/2010,276.5,5.6,18.3,22,69.5,9.2,77
01/03/2010,41.5,5.8,19.9,36,134.9,14.2,71
01/04/2010,219,5.4,21.2,21,81.3,13.4,76
01/05/2010,574.5,5.1,23.8,27,111.8,14.8,79
01/06/2010,220.5,5.4,26.7,31,128.1,17.6,82
01/07/2010,348.5,5.7,28.7,35,146.2,17.4,80
01/08/2010,281.5,5.3,28.9,45,183.5,18.9,79
01/09/2010,193,4.9,28,56,207.2,18.4,76
01/10/2010,368,5.3,25.7,34,119.7,12.3,74
01/11/2010,194,5.1,21.4,32,105.1,10.2,66
01/12/2010,88.5,5.3,18.1,38,122.7,9.8,64
01/01/2011,97,5.8,14.9,18,59.7,6.8,65
01/02/2011,121.5,4.5,17.6,33,104.4,11.8,71
01/03/2011,40,5.2,17.1,24,88,12.1,63
01/04/2011,90,4.7,20.4,48,182.4,18.1,69
01/05/2011,299.5,5.1,23.9,18,75.7,13.1,86
01/06/2011,223.5,6.4,27.9,46,189.5,20.6,85
01/07/2011,111,5.1,28.9,56,234.9,21.9,81
01/08/2011,471.5,5.9,28.3,49,199.2,19,81
01/09/2011,71.5,5.8,27.9,56,205.2,19,76
01/10/2011,212,5,25.2,32,114.7,11.8,78
01/11/2011,314,5.7,23.7,24,78.8,9,76
01/12/2011,70.5,5.7,18.6,21,69.8,7.1,69
01/01/2012,119,5.3,17,16,54.4,6.8,71
01/02/2012,109.5,5.2,17.5,18,57.3,8.5,74
01/03/2012,81,5.6,19.6,34,124.8,13.8,71
01/04/2012,356.5,5.5,21.7,26,99.6,13.9,75
01/05/2012,229.5,5,24.4,34,141.6,16.9,77
01/06/2012,372,6,26.9,30,124.7,16.3,86
01/07/2012,96,5.4,29.1,57,239.5,21.5,79
01/08/2012,674,6.4,28.5,41,164.1,17,82
01/09/2012,271.5,5.4,27.2,43,159.1,15.9,76
01/10/2012,96.5,6,24.6,46,163.2,14.2,70
01/11/2012,214.5,4.7,21,36,115.7,10.5,67
01/12/2012,113,5.9,18.5,29,94.9,8.5,65
01/01/2013,100,5.5,17,29,94.6,9,66
01/02/2013,75,5.1,18.6,36,111.7,11.6,72
01/03/2013,140.5,4.9,20.4,39,143.5,14.3,72
01/04/2013,202.5,4.9,20.6,24,93.4,13.5,74
