date,total_precipitation,mean_relative_humidity,mean_air_temperature,mean_wind_speed,total_sunshine_duration,percentage_possible_sunshine,solar_radiation
01/01/2010,90,67,16.8,5,92.7,28,9.1
01/02/2010,276.5,77,18.3,5.6,69.5,22,9.2
01/03/2010,41.5,71,19.9,5.8,134.9,36,14.2
01/04/2010,219,76,21.2,5.4,81.3,21,13.4
01/05/2010,574.5,79,23.8,5.1,111.8,27,14.8
01/06/2010,220.5,82,26.7,5.4,128.1,31,17.6
01/07/2010,348.5,80,28.7,5.7,146.2,35,17.4
01/08/2010,281.5,79,28.9,5.3,183.5,45,18.9
01/09/2010,193,76,28,4.9,207.2,56,18.4
01/10/2010,368,74,25.7,5.3,119.7,34,12.3
01/11/2010,194,66,21.4,5.1,105.1,32,10.2
01/12/2010,88.5,64,18.1,5.3,122.7,38,9.8
01/01/2011,97,65,14.9,5.8,59.7,18,6.8
01/02/2011,121.5,71,17.6,4.5,104.4,33,11.8
01/03/2011,40,63,17.1,5.2,88,24,12.1
01/04/2011,90,69,20.4,4.7,182.4,48,18.1
01/05/2011,299.5,86,23.9,5.1,75.7,18,13.1
01/06/2011,223.5,85,27.9,6.4,189.5,46,20.6
01/07/2011,111,81,28.9,5.1,234.9,56,21.9
01/08/2011,471.5,81,28.3,5.9,199.2,49,19
01/09/2011,71.5,76,27.9,5.8,205.2,56,19
01/10/2011,212,78,25.2,5,114.7,32,11.8
01/11/2011,314,76,23.7,5.7,78.8,24,9
01/12/2011,70.5,69,18.6,5.7,69.8,21,7.1
01/01/2012,119,71,17,5.3,54.4,16,6.8
01/02/2012,109.5,74,17.5,5.2,57.3,18,8.5
01/03/2012,81,71,19.6,5.6,124.8,34,13.8
01/04/2012,356.5,75,21.7,5.5,99.6,26,13.9
01/05/2012,229.5,77,24.4,5,141.6,34,16.9
01/06/2012,372,86,26.9,6,124.7,30,16.3
01/07/2012,96,79,29.1,5.4,239.5,57,21.5
01/08/2012,674,82,28.5,6.4,164.1,41,17
01/09/2012,271.5,76,27.2,5.4,159.1,43,15.9
01/10/2012,96.5,70,24.6,6,163.2,46,14.2
01/11/2012,214.5,67,21,4.7,115.7,36,10.5
01/12/2012,113,65,18.5,5.9,94.9,29,8.5
01/01/2013,100,66,17,5.5,94.6,29,9
01/02/2013,75,72,18.6,5.1,111.7,36,11.6
01/03/2013,140.5,72,20.4,4.9,143.5,39,14.3
01/04/2013,202.5,74,20.6,4.9,93.4,24,13.5
01/05/2013,602.5,81,23.7,4.6,94.1,23,14.9
01/06/2013,105,80,27.9,5.5,216,53,22
01/07/2013,4.5,73,29.4,5,268.4,64,23.4
01/08/2013,212,76,29.6,4.7,241.7,60,21.2
01/09/2013,178,74,28.3,6,206.5,56,18.7
01/10/2013,200,72,25.3,7.3,129.7,36,12.4
01/11/2013,121,66,21.3,5,120,37,10.6
01/12/2013,130,64,17.3,5.4,89.4,27,8.3
01/01/2014,66,61,16.8,5,145.4,44,11
01/02/2014,227,72,17.9,5.4,82.9,26,11
01/03/2014,185,69,18.4,5.6,110.1,30,12.9
01/04/2014,100.5,73,20.9,5.1,149.1,39,17.2
01/05/2014,354.5,81,23.6,4.9,112.5,27,15.5
01/06/2014,397.5,85,26.9,5.1,134.5,33,16.7
01/07/2014,494,80,29.3,6.3,235.5,56,21.8
01/08/2014,229,82,28.7,4.6,175.7,44,17.3
01/09/2014,95.5,75,28.8,4.2,224,61,19.1
01/10/2014,269,70,25.4,6.7,171.2,48,14.1
01/11/2014,49.5,68,22.6,5.1,134.7,41,11.6
01/12/2014,117,62,17.6,5.7,84.6,26,8.1
01/01/2015,22,61,16.6,5.3,90.7,27,8.5
01/02/2015,47,65,16.8,4.7,114.1,36,12.2
01/03/2015,95.5,72,19,5.1,126.5,34,14.1
01/04/2015,100,76,22.2,4.8,118.9,31,15.2
01/05/2015,197.5,81,24.9,4.7,144.2,35,17.6
01/06/2015,38,83,28.7,5.8,221.7,54,21.8
01/07/2015,369,79,29,6.3,202.3,48,20.2
01/08/2015,278,79,28.7,5.5,170.2,42,18
01/09/2015,46.5,73,27.8,4.5,208.5,57,19
01/10/2015,63.5,68,25.5,5,174.6,49,14.8
01/11/2015,95,71,23.8,4.9,139.7,43,11.7
01/12/2015,73,68,20.1,5.4,102.4,31,8.8
01/01/2016,272.5,71,17.4,5.3,75.8,23,7.5
01/02/2016,157.5,65,16.9,5.9,83.1,26,10.2
